Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
86,MARV27,157.350000,+,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
87,MARV28,157.400000,+,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
88,MARV68,156.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
89,MARV69,156.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
90,M79GLK,156.975000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
91,M80GLK,157.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
92,MVHF1L,155.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
93,MVHF2L,155.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
94,MVHF1F,155.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
95,MVHF2F,155.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
96,MVHF3F,155.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
115,2M CALL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
116,2MCW,144.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
117,2MSSB,144.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
118,70CM CA,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
119,70CW,432.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
120,70SSB,432.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
121,NOAA1,162.400000,split,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
122,NOAA2,162.425000,split,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
123,NOAA3,162.450000,split,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
124,NOAA4,162.475000,split,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
125,NOAA5,162.500000,split,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
126,NOAA6,162.525000,split,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
127,NOAA7,162.550000,split,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
